Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	ORF	Symbol	ID
LINF_010007700	LINF_010007700-T1	Leishmania infantum JPCM5	"LinJ.01:74,177..75,418(-)"	pseudouridylate synthase-like protein	protein coding	LinJ01.0280	N/A	4767678
LINF_010007800	LINF_010007800-T1	Leishmania infantum JPCM5	"LinJ.01:76,639..77,157(-)"	Cytochrome c oxidase biogenesis protein Cmc1 like - putative	protein coding	LinJ01.0290	N/A	4767679
LINF_010007900	LINF_010007900-T1	Leishmania infantum JPCM5	"LinJ.01:78,068..78,247(-)"	4F5 protein family - putative	protein coding	LinJ01.0300	N/A	4767680
LINF_010008000	LINF_010008000-T1	Leishmania infantum JPCM5	"LinJ.01:78,817..79,980(-)"	acidocalcisomal exopolyphosphatase - putative	protein coding	LinJ01.0310	N/A	4767681
LINF_010008100	LINF_010008100-T1	Leishmania infantum JPCM5	"LinJ.01:80,340..80,771(-)"	hypothetical protein - conserved	protein coding	LinJ01.0315	N/A	4767682
LINF_010008200	LINF_010008200-T1	Leishmania infantum JPCM5	"LinJ.01:81,741..82,664(+)"	poly(A) export protein - putative	protein coding	LinJ01.0320	N/A	4767683
LINF_010008300	LINF_010008300-T1	Leishmania infantum JPCM5	"LinJ.01:83,113..83,745(+)"	hypothetical protein - conserved	protein coding	LinJ01.0330	N/A	4767684
LINF_010008400	LINF_010008400-T1	Leishmania infantum JPCM5	"LinJ.01:84,325..84,618(+)"	Uncharacterised protein family (UPF0041) - putative	protein coding	LinJ01.0340	MPC1	4767686
LINF_010008500	LINF_010008500-T1	Leishmania infantum JPCM5	"LinJ.01:85,705..86,481(+)"	hypothetical protein - conserved	protein coding	LinJ01.0350	N/A	4767687
LINF_010008600	LINF_010008600-T1	Leishmania infantum JPCM5	"LinJ.01:88,139..90,385(+)"	hypothetical protein - conserved	protein coding	LinJ01.0360	N/A	4767688
LINF_010008700	LINF_010008700-T1	Leishmania infantum JPCM5	"LinJ.01:91,224..91,793(+)"	hypothetical protein - conserved	protein coding	LinJ01.0370	N/A	4767689
LINF_010008800	LINF_010008800-T1	Leishmania infantum JPCM5	"LinJ.01:92,426..92,992(+)"	Protein of unknown function (DUF788) - putative	protein coding	LinJ01.0380	N/A	4767690
LINF_010008900	LINF_010008900-T1	Leishmania infantum JPCM5	"LinJ.01:93,860..96,310(+)"	Dyggve-Melchior-Clausen syndrome protein - putative	protein coding	LinJ01.0390	N/A	4767691
LINF_010009000	LINF_010009000-T1	Leishmania infantum JPCM5	"LinJ.01:97,206..99,671(+)"	hypothetical protein - conserved	protein coding	LinJ01.0400	N/A	4767692
LINF_010009100	LINF_010009100-T1	Leishmania infantum JPCM5	"LinJ.01:100,535..102,241(+)"	hypothetical protein - conserved	protein coding	LinJ01.0410	N/A	4767693
LINF_010009200	LINF_010009200-T1	Leishmania infantum JPCM5	"LinJ.01:102,868..103,470(+)"	ribosomal protein S7 - putative	protein coding	LinJ01.0420	N/A	4767694
LINF_010009300	LINF_010009300-T1	Leishmania infantum JPCM5	"LinJ.01:104,660..105,262(+)"	ribosomal protein S7 - putative	protein coding	LinJ01.0430	N/A	4767695
LINF_010009400	LINF_010009400-T1	Leishmania infantum JPCM5	"LinJ.01:106,134..108,368(+)"	Ring finger domain/Zn-finger in ubiquitin-hydrolases and other protein - putative	protein coding	LinJ01.0440	N/A	4767696
LINF_010009500	LINF_010009500-T1	Leishmania infantum JPCM5	"LinJ.01:109,697..111,463(+)"	Protein of unknown function (DUF791) - putative	protein coding	LinJ01.0450	N/A	4767697
LINF_010009600	LINF_010009600-T1	Leishmania infantum JPCM5	"LinJ.01:114,424..115,080(+)"	nicotinamidase - putative	protein coding	LinJ01.0460	PNC1	4767698
LINF_010009700	LINF_010009700-T1	Leishmania infantum JPCM5	"LinJ.01:117,138..121,772(+)"	conserved protein	protein coding	LinJ01.0470	N/A	4767699
LINF_010009800	LINF_010009800-T1	Leishmania infantum JPCM5	"LinJ.01:125,902..127,992(+)"	long-chain-fatty-acid-CoA ligase - putative	protein coding	LinJ01.0480	N/A	4767700
LINF_010009900	LINF_010009900-T1	Leishmania infantum JPCM5	"LinJ.01:128,823..129,902(+)"	beta eliminating lyase -putative	protein coding	LinJ01.0490	N/A	4767701
LINF_010010000	LINF_010010000-T1	Leishmania infantum JPCM5	"LinJ.01:131,641..133,737(+)"	long-chain-fatty-acid-CoA ligase - putative	protein coding	LinJ01.0500	N/A	4767702
LINF_010010100	LINF_010010100-T1	Leishmania infantum JPCM5	"LinJ.01:134,852..136,975(+)"	long-chain-fatty-acid-CoA ligase - putative	protein coding	LinJ01.0510	N/A	4767703
LINF_010010200	LINF_010010200-T1	Leishmania infantum JPCM5	"LinJ.01:140,316..140,555(+)"	fatty acyl CoA synthetase 2 - putative	protein coding	LinJ01.0520	N/A	4767704
LINF_010010300	LINF_010010300-T1	Leishmania infantum JPCM5	"LinJ.01:141,480..143,627(+)"	long-chain-fatty-acid-CoA ligase - putative	protein coding	LinJ01.0530	N/A	4767705
LINF_010010400	LINF_010010400-T1	Leishmania infantum JPCM5	"LinJ.01:147,251..152,107(+)"	long-chain-fatty-acid-CoA ligase - putative	protein coding	LinJ01.0540	N/A	4767706
LINF_010010500	LINF_010010500-T1	Leishmania infantum JPCM5	"LinJ.01:153,104..155,149(+)"	hypothetical protein - conserved	protein coding	LinJ01.0550	N/A	4767707
LINF_010010600	LINF_010010600-T1	Leishmania infantum JPCM5	"LinJ.01:156,610..157,716(+)"	hypothetical protein - conserved	protein coding	LinJ01.0560	N/A	4767708
LINF_010010700	LINF_010010700-T1	Leishmania infantum JPCM5	"LinJ.01:158,783..160,651(+)"	pre-mRNA processing factor 3 (PRP3)/Protein of unknown function (DUF1115) - putative	protein coding	LinJ01.0570	N/A	4767709
LINF_010010800	LINF_010010800-T1	Leishmania infantum JPCM5	"LinJ.01:161,265..162,245(+)"	tricarboxylate carrier - putative	protein coding	LinJ01.0580	N/A	4767710
LINF_010010900	LINF_010010900-T1	Leishmania infantum JPCM5	"LinJ.01:162,937..165,831(+)"	hypothetical protein - conserved	protein coding	LinJ01.0590	N/A	4767711
LINF_010011000	LINF_010011000-T1	Leishmania infantum JPCM5	"LinJ.01:166,851..168,125(+)"	KREL1	protein coding	LinJ01.0600	N/A	4767712
LINF_010011100	LINF_010011100-T1	Leishmania infantum JPCM5	"LinJ.01:169,190..174,643(+)"	Rab-GTPase-TBC domain containing protein - putative	protein coding	LinJ01.0610	N/A	4767713
LINF_010011200	LINF_010011200-T1	Leishmania infantum JPCM5	"LinJ.01:175,625..176,356(+)"	DNA-damage inducible protein DDI1-like protein	protein coding	LinJ01.0620	N/A	4767714
LINF_010011300	LINF_010011300-T1	Leishmania infantum JPCM5	"LinJ.01:176,985..178,757(+)"	hypothetical protein - conserved	protein coding	LinJ01.0630	N/A	4767715
LINF_010011400	LINF_010011400-T1	Leishmania infantum JPCM5	"LinJ.01:181,105..183,228(+)"	hypothetical protein - conserved	protein coding	LinJ01.0640	N/A	4767716
LINF_010011500	LINF_010011500-T1	Leishmania infantum JPCM5	"LinJ.01:184,800..188,135(+)"	HSP70-like protein	protein coding	LinJ01.0650	N/A	4767717
LINF_010011600	LINF_010011600-T1	Leishmania infantum JPCM5	"LinJ.01:189,091..190,575(+)"	metallo-peptidase - Clan ME - Family M16	protein coding	LinJ01.0660	MPPB	4767718
LINF_010011700	LINF_010011700-T1	Leishmania infantum JPCM5	"LinJ.01:191,969..196,465(+)"	hypothetical protein - conserved	protein coding	LinJ01.0670	N/A	4767719
LINF_010011800	LINF_010011800-T1	Leishmania infantum JPCM5	"LinJ.01:197,459..198,367(+)"	hypothetical protein - conserved	protein coding	LinJ01.0680	N/A	4767720
LINF_010011900	LINF_010011900-T1	Leishmania infantum JPCM5	"LinJ.01:202,489..204,894(+)"	hypothetical protein - conserved	protein coding	LinJ01.0690	N/A	4767721
LINF_010012000	LINF_010012000-T1	Leishmania infantum JPCM5	"LinJ.01:206,794..207,495(+)"	PLAC8 family - putative	protein coding	LinJ01.0700	N/A	4767722
LINF_010012100	LINF_010012100-T1	Leishmania infantum JPCM5	"LinJ.01:210,432..211,493(+)"	PLAC8 family - putative	protein coding	LinJ01.0710	N/A	4767723
LINF_010012200	LINF_010012200-T1	Leishmania infantum JPCM5	"LinJ.01:213,790..215,409(+)"	ubiquitin activating enzyme - putative	protein coding	LinJ01.0720	N/A	4767724
LINF_010012300	LINF_010012300-T1	Leishmania infantum JPCM5	"LinJ.01:216,040..220,872(+)"	hypothetical protein - conserved	protein coding	LinJ01.0730	N/A	4767725
LINF_010012400	LINF_010012400-T1	Leishmania infantum JPCM5	"LinJ.01:222,098..228,886(+)"	Meckel syndrome type 6 protein - putative	protein coding	LinJ01.0740	mks6	4767726
LINF_010012500	LINF_010012500-T1	Leishmania infantum JPCM5	"LinJ.01:229,670..231,934(+)"	hypothetical protein - conserved	protein coding	LinJ01.0750	N/A	4767727
LINF_010012600	LINF_010012600-T1	Leishmania infantum JPCM5	"LinJ.01:233,466..237,713(+)"	protein kinase - putative	protein coding	LinJ01.0760	N/A	4767728
LINF_010012700	LINF_010012700-T1	Leishmania infantum JPCM5	"LinJ.01:238,289..239,311(+)"	hypothetical protein - conserved	protein coding	LinJ01.0770	N/A	4767729
LINF_010012800	LINF_010012800-T1	Leishmania infantum JPCM5	"LinJ.01:240,165..241,376(+)"	eukaryotic initiation factor 4a - putative	protein coding	LinJ01.0780	EIF4A1	4767730
LINF_010012900	LINF_010012900-T1	Leishmania infantum JPCM5	"LinJ.01:243,452..244,663(+)"	eukaryotic initiation factor 4a - putative	protein coding	LinJ01.0790	EIF4A1	4767731
LINF_010013000	LINF_010013000-T1	Leishmania infantum JPCM5	"LinJ.01:246,809..248,401(+)"	hypothetical protein - conserved	protein coding	LinJ01.0800	N/A	4767732
LINF_010013100	LINF_010013100-T1	Leishmania infantum JPCM5	"LinJ.01:250,512..251,984(+)"	hypothetical protein - conserved	protein coding	LinJ01.0810	N/A	4767733
LINF_010013200	LINF_010013200-T1	Leishmania infantum JPCM5	"LinJ.01:253,431..256,484(+)"	calcium/potassium channel (CAKC) - putative	protein coding	LinJ01.0820	N/A	4767734
LINF_010013300	LINF_010013300-T1	Leishmania infantum JPCM5	"LinJ.01:257,855..261,553(+)"	potassium channel subunit-like protein	protein coding	LinJ01.0830	N/A	4767735
LINF_020005600	LINF_020005600-T1	Leishmania infantum JPCM5	"LinJ.02:20,044..21,237(-)"	hypothetical protein - conserved	protein coding	LinJ02.0040	N/A	4767738
LINF_020005700	LINF_020005700-T1	Leishmania infantum JPCM5	"LinJ.02:23,320..26,301(-)"	hypothetical protein - conserved	protein coding	LinJ02.0050	N/A	4767739
LINF_020005800	LINF_020005800-T1	Leishmania infantum JPCM5	"LinJ.02:27,895..28,839(-)"	hypothetical protein - conserved	protein coding	LinJ02.0060	N/A	4767740
LINF_020005900	LINF_020005900-T1	Leishmania infantum JPCM5	"LinJ.02:30,149..31,213(-)"	hypothetical protein - conserved	protein coding	LinJ02.0070	N/A	4767741
LINF_020006000	LINF_020006000-T1	Leishmania infantum JPCM5	"LinJ.02:33,908..36,835(-)"	hypothetical protein - conserved	protein coding	LinJ02.0080	N/A	4767742
LINF_020006100	LINF_020006100-T1	Leishmania infantum JPCM5	"LinJ.02:38,917..42,417(-)"	tRNA exportin - putative	protein coding	LinJ02.0090	N/A	4767744
LINF_020006200	LINF_020006200-T1	Leishmania infantum JPCM5	"LinJ.02:44,234..58,954(-)"	phosphatidylinositol kinase related protein - putative	protein coding	LinJ02.0100	N/A	4767745
LINF_020006300	LINF_020006300-T1	Leishmania infantum JPCM5	"LinJ.02:60,504..61,223(-)"	Zinc-finger of C2H2 type - putative	protein coding	LinJ02.0110	N/A	4767746
LINF_020006400	LINF_020006400-T1	Leishmania infantum JPCM5	"LinJ.02:62,123..64,810(-)"	Ankyrin repeats (many copies)/Ankyrin repeats (3 copies)/Zinc finger - C3HC4 type (RING finger) containing protein - putativ	protein coding	LinJ02.0120	N/A	4767747
LINF_020006500	LINF_020006500-T1	Leishmania infantum JPCM5	"LinJ.02:66,104..72,016(-)"	Vps51/Vps67 - putative	protein coding	LinJ02.0130	N/A	4767748
LINF_020006700	LINF_020006700-T1	Leishmania infantum JPCM5	"LinJ.02:79,711..82,164(-)"	phosphoglycan beta 1 -3 galactosyltransferase	protein coding	LinJ02.0140	SCGR6	4767749
LINF_020006800	LINF_020006800-T1	Leishmania infantum JPCM5	"LinJ.02:86,347..88,779(-)"	phosphoglycan beta 1 -3 galactosyltransferase	protein coding	LinJ02.0150	SCGR5	4767750
LINF_020006900	LINF_020006900-T1	Leishmania infantum JPCM5	"LinJ.02:90,963..92,927(-)"	phosphoglycan beta 1 -3 galactosyltransferase	protein coding	LinJ02.0160	SCGR4	4767752
LINF_020007000	LINF_020007000-T1	Leishmania infantum JPCM5	"LinJ.02:99,643..101,961(-)"	phosphoglycan beta 1 -3 galactosyltransferase	protein coding	LinJ02.0720	SCGR3	4767807
LINF_020007100	LINF_020007100-T1	Leishmania infantum JPCM5	"LinJ.02:104,398..106,989(-)"	phosphoglycan beta 1 -3 galactosyltransferase	protein coding	LinJ02.0680	SCGR2	4767803
LINF_020007200	LINF_020007200-T1	Leishmania infantum JPCM5	"LinJ.02:110,603..112,945(-)"	phosphoglycan beta 1 -2 arabinosyltransferase	protein coding	LinJ02.0690	SCA1	4767804
LINF_020007300	LINF_020007300-T1	Leishmania infantum JPCM5	"LinJ.02:114,421..117,402(-)"	phosphoglycan beta 1 -3 galactosyltransferase	protein coding	LinJ02.0700	SCGR1	4767805
LINF_020007400	LINF_020007400-T1	Leishmania infantum JPCM5	"LinJ.02:119,608..122,316(-)"	Glycosyltransferase (GlcNAc) - putative	protein coding	LinJ02.0710	N/A	4767806
LINF_020007500	LINF_020007500-T1	Leishmania infantum JPCM5	"LinJ.02:123,983..127,423(-)"	hypothetical protein - conserved	protein coding	LinJ02.0170	N/A	4767753
LINF_020007700	LINF_020007700-T1	Leishmania infantum JPCM5	"LinJ.02:131,272..131,466(-)"	hypothetical protein - conserved	protein coding	LinJ02.0190	N/A	4767754
LINF_020007800	LINF_020007800-T1	Leishmania infantum JPCM5	"LinJ.02:133,544..134,053(-)"	hypothetical protein - conserved	protein coding	LinJ02.0200	N/A	4767755
LINF_020007900	LINF_020007900-T1	Leishmania infantum JPCM5	"LinJ.02:134,937..136,529(-)"	NIMA/Nek Serine/threonine-protein kinase family - putative	protein coding	LinJ02.0210	N/A	4767756
LINF_020008000	LINF_020008000-T1	Leishmania infantum JPCM5	"LinJ.02:145,478..149,221(-)"	ATP-binding cassette subfamily A - member 1 - putative	protein coding	LinJ02.0220	N/A	4767757
LINF_020008100	LINF_020008100-T1	Leishmania infantum JPCM5	"LinJ.02:153,058..155,130(-)"	Soluble NSF attachment protein - SNAP - putative	protein coding	LinJ02.0230	N/A	4767758
LINF_020008200	LINF_020008200-T1	Leishmania infantum JPCM5	"LinJ.02:156,282..157,256(-)"	RNase PH-like protein - putative	protein coding	LinJ02.0240	RRP41B	4767759
LINF_020008300	LINF_020008300-T1	Leishmania infantum JPCM5	"LinJ.02:157,928..162,544(-)"	glycosyl transferase - putative	protein coding	LinJ02.0250	N/A	4767760
LINF_020008400	LINF_020008400-T1	Leishmania infantum JPCM5	"LinJ.02:163,783..166,701(-)"	EamA-like transporter family/Triose-phosphate Transporter family/UAA transporter family - putative	protein coding	LinJ02.0260	N/A	4767761
LINF_020008500	LINF_020008500-T1	Leishmania infantum JPCM5	"LinJ.02:167,864..171,049(-)"	hypothetical protein - conserved	protein coding	LinJ02.0270	N/A	4767762
LINF_020008600	LINF_020008600-T1	Leishmania infantum JPCM5	"LinJ.02:172,810..173,955(-)"	casein kinase II - alpha chain - putative	protein coding	LinJ02.0280	N/A	4767763
LINF_020008700	LINF_020008700-T1	Leishmania infantum JPCM5	"LinJ.02:175,540..177,129(-)"	proteasome regulatory non-ATPase subunit 6 - putative	protein coding	LinJ02.0290	N/A	4767764
LINF_020008800	LINF_020008800-T1	Leishmania infantum JPCM5	"LinJ.02:178,188..179,561(-)"	FtsJ-like methyltransferase - putative	protein coding	LinJ02.0300	N/A	4767765
LINF_020008900	LINF_020008900-T1	Leishmania infantum JPCM5	"LinJ.02:180,883..181,341(-)"	ubiquitin-conjugating enzyme E2 - putative	protein coding	LinJ02.0310	N/A	4767766
LINF_020009100	LINF_020009100-T1	Leishmania infantum JPCM5	"LinJ.02:182,776..185,856(-)"	Mitochondrial protein 81	protein coding	LinJ02.0330	KREPA1	4767768
LINF_020009200	LINF_020009200-T1	Leishmania infantum JPCM5	"LinJ.02:188,531..191,590(-)"	hypothetical protein - conserved	protein coding	LinJ02.0340	N/A	4767769
LINF_020009300	LINF_020009300-T1	Leishmania infantum JPCM5	"LinJ.02:195,453..196,565(-)"	serine peptidase - Clan S- - family S54 - putative	protein coding	LinJ02.0350	N/A	4767770
LINF_020009700	LINF_020009700-T1	Leishmania infantum JPCM5	"LinJ.02:202,759..203,592(-)"	voltage-dependent anion-selective channel - putative	protein coding	LinJ02.0370	N/A	4767772
LINF_020009800	LINF_020009800-T1	Leishmania infantum JPCM5	"LinJ.02:207,733..208,608(-)"	voltage-dependent anion-selective channel - putative	protein coding	LinJ02.0380	VDAC	4767773
LINF_020009900	LINF_020009900-T1	Leishmania infantum JPCM5	"LinJ.02:209,832..219,395(-)"	hypothetical protein - conserved	protein coding	LinJ02.0390	N/A	4767774
LINF_020010000	LINF_020010000-T1	Leishmania infantum JPCM5	"LinJ.02:222,245..222,850(-)"	hypothetical protein - conserved	protein coding	LinJ02.0400	N/A	4767775
LINF_020010100	LINF_020010100-T1	Leishmania infantum JPCM5	"LinJ.02:223,697..225,826(-)"	hypothetical protein - conserved	protein coding	LinJ02.0410	N/A	4767776
LINF_020010200	LINF_020010200-T1	Leishmania infantum JPCM5	"LinJ.02:227,787..230,636(-)"	glycerate kinase - putative	protein coding	LinJ02.0420	N/A	4767777
LINF_020010300	LINF_020010300-T1	Leishmania infantum JPCM5	"LinJ.02:231,992..232,504(-)"	hypothetical protein - conserved	protein coding	LinJ02.0430	N/A	4767778
LINF_020010400	LINF_020010400-T1	Leishmania infantum JPCM5	"LinJ.02:234,105..240,380(-)"	hypothetical protein - conserved	protein coding	LinJ02.0440	N/A	4767779
LINF_020010600	LINF_020010600-T1	Leishmania infantum JPCM5	"LinJ.02:246,697..249,288(-)"	hypothetical protein - conserved	protein coding	LinJ02.0450	N/A	4767780
LINF_020010700	LINF_020010700-T1	Leishmania infantum JPCM5	"LinJ.02:250,689..251,669(-)"	hypothetical protein - conserved	protein coding	LinJ02.0460	N/A	4767781
LINF_020010800	LINF_020010800-T1	Leishmania infantum JPCM5	"LinJ.02:254,036..254,527(-)"	hypothetical protein - conserved	protein coding	LinJ02.0470	N/A	4767782
LINF_020010900	LINF_020010900-T1	Leishmania infantum JPCM5	"LinJ.02:255,627..258,170(-)"	hypothetical protein - conserved	protein coding	LinJ02.0480	N/A	4767783
LINF_020011000	LINF_020011000-T1	Leishmania infantum JPCM5	"LinJ.02:261,675..265,946(-)"	protein kinase - putative	protein coding	LinJ02.0490	N/A	4767784
LINF_020011100	LINF_020011100-T1	Leishmania infantum JPCM5	"LinJ.02:298,221..309,587(+)"	hypothetical protein - conserved	protein coding	LinJ02.0500	N/A	4767785
LINF_020011200	LINF_020011200-T1	Leishmania infantum JPCM5	"LinJ.02:310,402..311,937(+)"	TPR repeat/Tetratricopeptide repeat - putative	protein coding	LinJ02.0510	N/A	4767786
LINF_020011300	LINF_020011300-T1	Leishmania infantum JPCM5	"LinJ.02:312,988..313,620(+)"	ARP2/3 complex subunit - putative	protein coding	LinJ02.0520	N/A	4767787
LINF_020011400	LINF_020011400-T1	Leishmania infantum JPCM5	"LinJ.02:315,192..316,157(+)"	hypothetical protein - conserved	protein coding	LinJ02.0530	N/A	4767788
LINF_020011500	LINF_020011500-T1	Leishmania infantum JPCM5	"LinJ.02:317,349..319,052(+)"	hypothetical protein - conserved	protein coding	LinJ02.0540	N/A	4767789
LINF_020011600	LINF_020011600-T1	Leishmania infantum JPCM5	"LinJ.02:320,082..322,061(+)"	gamma-glutamyl phosphate reductase-like protein	protein coding	LinJ02.0550	N/A	4767790
LINF_020011700	LINF_020011700-T1	Leishmania infantum JPCM5	"LinJ.02:323,555..327,799(+)"	hypothetical protein - conserved	protein coding	LinJ02.0560	N/A	4767791
LINF_020011800	LINF_020011800-T1	Leishmania infantum JPCM5	"LinJ.02:328,329..329,276(+)"	hypothetical protein - conserved	protein coding	LinJ02.0570	N/A	4767792
LINF_020011900	LINF_020011900-T1	Leishmania infantum JPCM5	"LinJ.02:330,183..332,915(+)"	Nop14-like family - putative	protein coding	LinJ02.0580	N/A	4767793
LINF_020012000	LINF_020012000-T1	Leishmania infantum JPCM5	"LinJ.02:333,812..334,753(+)"	mitochondrial carrier protein - putative	protein coding	LinJ02.0590	N/A	4767794
LINF_020012100	LINF_020012100-T1	Leishmania infantum JPCM5	"LinJ.02:336,793..337,371(+)"	hypothetical protein	protein coding	LinJ02.0600	N/A	4767795
LINF_020012300	LINF_020012300-T1	Leishmania infantum JPCM5	"LinJ.02:340,458..343,268(+)"	hypothetical protein - conserved	protein coding	LinJ02.0620	N/A	4767797
LINF_270033600	LINF_270033600-T1	Leishmania infantum JPCM5	"LinJ.27:1,153,523..1,154,887(+)"	hypothetical protein - conserved	protein coding	LinJ02.0620	N/A	4767797
LINF_020012400	LINF_020012400-T1	Leishmania infantum JPCM5	"LinJ.02:344,985..347,438(+)"	Heat shock protein 100 kDa	protein coding	LinJ02.0630	N/A	4767798
LINF_270033700	LINF_270033700-T1	Leishmania infantum JPCM5	"LinJ.27:1,153,982..1,154,887(+)"	Heat shock protein 100 kDa	protein coding	LinJ02.0630	N/A	4767798
LINF_020012430	LINF_020012430-T1	Leishmania infantum JPCM5	"LinJ.02:348,523..348,765(+)"	"hypothetical protein, unknown function"	protein coding	LinJ02.0640	N/A	4767799
LINF_020012460	LINF_020012460-T1	Leishmania infantum JPCM5	"LinJ.02:349,947..350,492(+)"	dehydrogenase/oxidoreductase-like protein	protein coding	LinJ02.0650	N/A	4767800
LINF_020012500	LINF_020012500-T1	Leishmania infantum JPCM5	"LinJ.02:353,331..355,240(+)"	"hypothetical protein, unknown function"	protein coding	LinJ02.0660	N/A	4767801
LINF_270033800	LINF_270033800-T1	Leishmania infantum JPCM5	"LinJ.27:1,155,673..1,158,483(+)"	metallo-peptidase - Clan MA(E) - Family M3	protein coding	LinJ02.0660	DCP	4767801
